SKUs,Total Box,Item 1,Box,Item 1 Length,Item 1 Width,Item 1 Height,Item 1 Weight,Item 2,Box,Item 2 Length,Item 2 Width,Item 2 Height,Item 2 Weight,Item 3,Box,Item 3 Length,Item 3 Width,Item 3 Height,Item 3 Weight,Item 4,Box,Item 4 Length,Item 4 Width,Item 4 Height,Item 4 Weight
OXAD3-LWH-LC,2,OXT-LWH-T,1,41,41,7,59,,,,,,,ADC-LWH-LC,1,38,20,12,40,,,,,,
OXAD5-LWH-LC,3,OXT-LWH-T,1,41,41,7,59,,,,,,,ADC-LWH-LC,2,38,20,12,40,,,,,,
SHAD3-LWH-LC,3,SHT-WHI-T,1,45,45,4,44,SHT-WHI-P,1,28,11,9,24,ADC-LWH-LC,1,38,20,12,40,,,,,,
SHAD5-LWH-LC,4,SHT-WHI-T,1,45,45,4,44,SHT-WHI-P,1,28,11,9,24,ADC-LWH-LC,2,38,20,12,40,,,,,,
SUAD3-LWH-LC,2,SUT-LWH-T,1,45,45,7,59,,,,,,,ADC-LWH-LC,1,38,20,12,40,,,,,,
SUAD5-LWH-LC,3,SUT-LWH-T,1,45,45,7,59,,,,,,,ADC-LWH-LC,2,38,20,12,40,,,,,,
WEAD5-LWH-LC,4,WET-WHI-T,1,46,46,7,90,WET-WHI-L,1,32,15,5,30,ADC-LWH-LC,2,38,20,12,40,,,,,,
WEAD7-LWH-LC,5,WET-WHI-T,1,46,46,7,90,WET-WHI-L,1,32,15,5,30,ADC-LWH-LC,3,38,20,12,40,,,,,,
ANTI3-BLK-C,3,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-C,1,41,19,12,36,,,,,,
ANTI5-BLK-C,4,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-C,2,41,19,12,36,,,,,,
AVAT5-BLK-C,4,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-C,2,41,19,12,36,,,,,,
AVAT7-BLK-C,5,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-C,3,41,19,12,36,,,,,,
DLAN3-BLK-C,3,DLT-BLK-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-C,1,41,19,12,36,,,,,,
DLAN5-BLK-C,4,DLT-BLK-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-C,2,41,19,12,36,,,,,,
DLAN3-BCH-C,3,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-C,1,41,19,12,36,,,,,,
DLAN5-BCH-C,4,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-C,2,41,19,12,36,,,,,,
DUAN5-BLK-C,3,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-C,2,41,19,12,36,,,,,,
DUAN6-BLK-C,4,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-C,2,41,19,12,36,DUB-BLK-W,1,55,19,5,31
DUAN7-BLK-C,4,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-C,3,41,19,12,36,,,,,,
HLAN3-BCH-C,3,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-C,1,41,19,12,36,,,,,,
HLAN5-BCH-C,4,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-C,2,41,19,12,36,,,,,,
LGAN5-BCH-C,4,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,2,41,19,12,36,,,,,,
LGAN7-BCH-C,5,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,3,41,19,12,36,,,,,,
LGAN9-BCH-C,6,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,4,41,19,12,36,,,,,,
LGAN5-BLK-C,4,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,2,41,19,12,36,,,,,,
LGAN7-BLK-C,5,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,3,41,19,12,36,,,,,,
LGAN9-BLK-C,6,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-C,4,41,19,12,36,,,,,,
NIAN5-BCH-C,3,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-C,2,41,19,12,36,,,,,,
NIAN5N-BCH-C,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-C,1,41,19,12,36,NIB-BLK-W,2,58,18,5,36
NIAN6-BCH-C,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-C,2,41,19,12,36,NIB-BLK-W,1,58,18,5,36
NIAN7-BCH-C,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-C,3,41,19,12,36,,,,,,
PFAN5-BCH-C,4,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-C,2,41,19,12,36,,,,,,
PFAN6-BCH-C,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-C,2,41,19,12,36,PFB-BLK-W,1,55,18,5,33
PFAN7-BCH-C,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-C,3,41,19,12,36,,,,,,
PFAN9-BCH-C,6,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-C,4,41,19,12,36,,,,,,
PLAN5-BCH-C,4,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-C,2,41,19,12,36,,,,,,
PLAN7-BCH-C,5,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-C,3,41,19,12,36,,,,,,
PLAN9-BCH-C,6,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-C,4,41,19,12,36,,,,,,
QUAN5-BCH-C,3,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-C,2,41,19,12,36,,,,,,
QUAN7-BCH-C,4,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-C,3,41,19,12,36,,,,,,
QUAN9-BCH-C,5,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-C,4,41,19,12,36,,,,,,
SHAN3-BLK-C,3,SHT-BLK-T,1,45,45,4,44,SHT-BLK-P,1,28,11,9,24,ANC-BLK-C,1,41,19,12,36,,,,,,
SHAN5-BLK-C,4,SHT-BLK-T,1,45,45,4,44,SHT-BLK-P,1,28,11,9,24,ANC-BLK-C,2,41,19,12,36,,,,,,
SUAN3-BCH-C,2,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-C,1,41,19,12,36,,,,,,
SUAN5-BCH-C,3,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-C,2,41,19,12,36,,,,,,
WEAN5-BCH-C,4,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-C,2,41,19,12,36,,,,,,
WEAN7-BCH-C,5,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-C,3,41,19,12,36,,,,,,
WEAN5-BLK-C,4,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-C,2,41,19,12,36,,,,,,
WEAN6D-BLK-C,5,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-C,2,41,19,12,36,DUB-BLK-W,1,55,19,5,31
WEAN7-BLK-C,5,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-C,3,41,19,12,36,,,,,,
ANTI3-BLK-LC,3,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-LC,1,41,19,12,36,,,,,,
ANTI5-BLK-LC,4,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-LC,2,41,19,12,36,,,,,,
AVAT5-BLK-LC,4,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-LC,2,41,19,12,36,,,,,,
AVAT7-BLK-LC,5,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-LC,3,41,19,12,36,,,,,,
DLAN3-BLK-LC,3,DLT-BLK-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-LC,1,41,19,12,36,,,,,,
DLAN5-BLK-LC,4,DLT-BLK-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-LC,2,41,19,12,36,,,,,,
DLAN3-BCH-LC,3,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-LC,1,41,19,12,36,,,,,,
DLAN5-BCH-LC,4,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-LC,2,41,19,12,36,,,,,,
DUAN5-BLK-LC,3,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-LC,2,41,19,12,36,,,,,,
DUAN6-BLK-LC,4,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-LC,2,41,19,12,36,DUB-BLK-W,1,55,19,5,31
DUAN7-BLK-LC,4,DUT-BLK-T,1,65,41,7,84,,,,,,,ANC-BLK-LC,3,41,19,12,36,,,,,,
HLAN3-BCH-LC,3,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-LC,1,41,19,12,36,,,,,,
HLAN5-BCH-LC,4,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-LC,2,41,19,12,36,,,,,,
LGAN5-BCH-LC,4,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,2,41,19,12,36,,,,,,
LGAN7-BCH-LC,5,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,3,41,19,12,36,,,,,,
LGAN9-BCH-LC,6,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,4,41,19,12,36,,,,,,
LGAN5-BLK-LC,4,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,2,41,19,12,36,,,,,,
LGAN7-BLK-LC,5,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,3,41,19,12,36,,,,,,
LGAN9-BLK-LC,6,LGT-BLK-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-LC,4,41,19,12,36,,,,,,
NIAN5-BCH-LC,3,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-LC,2,41,19,12,36,,,,,,
NIAN5N-BCH-LC,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-LC,1,41,19,12,36,NIB-BLK-W,2,58,18,5,36
NIAN6-BCH-LC,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-LC,2,41,19,12,36,NIB-BLK-W,1,58,18,5,36
NIAN7-BCH-LC,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-LC,3,41,19,12,36,,,,,,
PFAN5-BCH-LC,4,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-LC,2,41,19,12,36,,,,,,
PFAN6-BCH-LC,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-LC,2,41,19,12,36,PFB-BLK-W,1,55,18,5,33
PFAN7-BCH-LC,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-LC,3,41,19,12,36,,,,,,
PFAN9-BCH-LC,6,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-LC,4,41,19,12,36,,,,,,
PLAN5-BCH-LC,4,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-LC,2,41,19,12,36,,,,,,
PLAN7-BCH-LC,5,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-LC,3,41,19,12,36,,,,,,
PLAN9-BCH-LC,6,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-LC,4,41,19,12,36,,,,,,
QUAN5-BCH-LC,3,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-LC,2,41,19,12,36,,,,,,
QUAN7-BCH-LC,4,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-LC,3,41,19,12,36,,,,,,
QUAN9-BCH-LC,5,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-LC,4,41,19,12,36,,,,,,
SHAN3-BLK-LC,3,SHT-BLK-T,1,45,45,4,44,SHT-BLK-P,1,28,11,9,24,ANC-BLK-LC,1,41,19,12,36,,,,,,
SHAN5-BLK-LC,4,SHT-BLK-T,1,45,45,4,44,SHT-BLK-P,1,28,11,9,24,ANC-BLK-LC,2,41,19,12,36,,,,,,
SUAN3-BCH-LC,2,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-LC,1,41,19,12,36,,,,,,
SUAN5-BCH-LC,3,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-LC,2,41,19,12,36,,,,,,
WEAN5-BCH-LC,4,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-LC,2,41,19,12,36,,,,,,
WEAN7-BCH-LC,5,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-LC,3,41,19,12,36,,,,,,
WEAN5-BLK-LC,4,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-LC,2,41,19,12,36,,,,,,
WEAN6D-BLK-LC,5,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-LC,2,41,19,12,36,DUB-BLK-W,1,55,19,5,31
WEAN7-BLK-LC,5,WET-BLK-T,1,46,46,7,90,WET-BLK-L,1,32,15,5,30,ANC-BLK-LC,3,41,19,12,36,,,,,,
ANTI3-BLK-W,3,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-W,1,41,19,11,36,,,,,,
ANTI5-BLK-W,4,ANT-BLK-T,1,39,39,6,33,ANT-BLK-P,1,26,9,7,14,ANC-BLK-W,2,41,19,11,36,,,,,,
AVAT5-BLK-W,4,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-W,2,41,19,11,36,,,,,,
AVAT7-BLK-W,5,AVT-BLK-T,1,45,45,9,84,AVT-BLK-P,1,24,11,9,20,ANC-BLK-W,3,41,19,11,36,,,,,,
DLAN3-BCH-W,3,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-W,1,41,19,11,36,,,,,,
DLAN5-BCH-W,4,DLT-SBR-T,1,45,27,4,31,DLT-BLK-P,1,26,9,6,14,ANC-BLK-W,2,41,19,11,36,,,,,,
DOAN5-BCH-W,3,DOT-BCH-T,1,64,46,7,133,,,,,,,ANC-BLK-W,2,41,19,11,36,,,,,,
DOAN7-BCH-W,4,DOT-BCH-T,1,64,46,7,133,,,,,,,ANC-BLK-W,3,41,19,11,36,,,,,,
DOAN9-BCH-W,5,DOT-BCH-T,1,64,46,7,133,,,,,,,ANC-BLK-W,4,41,19,11,36,,,,,,
HLAN3-BCH-W,3,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-W,1,41,19,11,36,,,,,,
HLAN5-BCH-W,4,HLT-BCH-T,1,45,45,6,55,HLT-BLK-P,1,26,9,7,11,ANC-BLK-W,2,41,19,11,36,,,,,,
LGAN5-BCH-W,4,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-W,2,41,19,11,36,,,,,,
LGAN7-BCH-W,5,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-W,3,41,19,11,36,,,,,,
LGAN9-BCH-W,6,LGT-BCH-T,1,71,47,8,121,LGT-BLK-L,1,32,15,5,31,ANC-BLK-W,4,41,19,11,36,,,,,,
NIAN5-BCH-W,3,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-W,2,41,19,11,36,,,,,,
NIAN5N-BCH-W,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-W,1,41,19,11,36,NIB-BLK-W,2,58,18,5,36
NIAN6-BCH-W,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-W,2,41,19,11,36,NIB-BLK-W,1,58,18,5,36
NIAN7-BCH-W,4,NIT-BLK-T,1,59,41,7,108,,,,,,,ANC-BLK-W,3,41,19,11,36,,,,,,
PFAN5-BCH-W,4,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-W,2,41,19,11,36,,,,,,
PFAN6-BCH-W,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-W,2,41,19,11,36,PFB-BLK-W,1,55,18,5,33
PFAN7-BCH-W,5,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-W,3,41,19,11,36,,,,,,
PFAN9-BCH-W,6,PFT-BLK-T,1,58,41,7,97,PFT-BLK-L,1,31,15,5,27,ANC-BLK-W,4,41,19,11,36,,,,,,
PLAN5-BCH-W,4,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-W,2,41,19,11,36,,,,,,
PLAN7-BCH-W,5,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-W,3,41,19,11,36,,,,,,
PLAN9-BCH-W,6,PVT-BLK-T,1,64,45,7,110,PVT-BLK-P,1,24,19,8,27,ANC-BLK-W,4,41,19,11,36,,,,,,
QUAN5-BCH-W,3,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-W,2,41,19,11,36,,,,,,
QUAN7-BCH-W,4,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-W,3,41,19,11,36,,,,,,
QUAN9-BCH-W,5,QUT-BLK-T,1,64,45,8,135,,,,,,,ANC-BLK-W,4,41,19,11,36,,,,,,
SUAN3-BCH-W,2,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-W,1,41,19,11,36,,,,,,
SUAN5-BCH-W,3,SUT-BCH-T,1,45,45,7,59,,,,,,,ANC-BLK-W,2,41,19,11,36,,,,,,
WEAN5-BCH-W,4,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-W,2,41,19,11,36,,,,,,
WEAN7-BCH-W,5,WET-BCH-T,1,46,46,7,88,WET-BLK-L,1,32,15,5,30,ANC-BLK-W,3,41,19,11,36,,,,,,
ANTI3-CAP-C,3,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-C,1,41,19,12,36,,,,,,
ANTI5-CAP-C,4,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-C,2,41,19,12,36,,,,,,
BOAN3-CAP-C,2,BOT-CAP-T,1,44,44,6,64,,,,,,,ANC-CAP-C,1,41,19,12,36,,,,,,
BOAN5-CAP-C,3,BOT-CAP-T,1,44,44,6,64,,,,,,,ANC-CAP-C,2,41,19,12,36,,,,,,
CAAN5-CAP-C,3,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-C,2,41,19,12,36,,,,,,
CAAN6-CAP-C,4,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-C,2,41,19,12,36,CAB-CAP-W,1,55,18,5,31
CAAN7-CAP-C,4,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-C,3,41,19,12,36,,,,,,
HEAN7-CAP-C,4,HET-CAP-T,1,58,46,7,120,,,,,,,ANC-CAP-C,3,41,19,12,36,,,,,,
HLAN3-CAP-C,3,HLT-CAP-T,1,45,45,6,55,HLT-CAP-P,1,26,9,7,11,ANC-CAP-C,1,41,19,12,36,,,,,,
HLAN5-CAP-C,4,HLT-CAP-T,1,45,45,6,55,HLT-CAP-P,1,26,9,7,11,ANC-CAP-C,2,41,19,12,36,,,,,,
LYAN5-CAP-C,3,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-C,2,41,19,12,36,,,,,,
LYAN6-CAP-C,4,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-C,2,41,19,12,36,LYB-CAP-W,1,56,19,5,33
LYAN7-CAP-C,4,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-C,3,41,19,12,36,,,,,,
PFAN5-CAP-C,4,PFT-CAP-T,1,58,41,7,97,PFT-CAP-L,1,31,15,5,27,ANC-CAP-C,2,41,19,12,36,,,,,,
PFAN6-CAP-C,5,PFT-CAP-T,1,58,41,7,97,PFT-CAP-L,1,31,15,5,27,ANC-CAP-C,2,41,19,12,36,PFB-CAP-W,1,55,18,5,33
PFAN7-CAP-C,5,PFT-CAP-T,1,58,41,7,97,PFT-CAP-L,1,31,15,5,27,ANC-CAP-C,3,41,19,12,36,,,,,,
PFAN9-CAP-C,6,PFT-CAP-T,1,58,41,7,97,PFT-CAP-L,1,31,15,5,27,ANC-CAP-C,4,41,19,12,36,,,,,,
ANTI3-CAP-LC,3,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-LC,1,41,19,12,36,,,,,,
ANTI5-CAP-LC,4,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-LC,2,41,19,12,36,,,,,,
BOAN3-CAP-LC,2,BOT-CAP-T,1,44,44,6,64,,,,,,,ANC-CAP-LC,1,41,19,12,36,,,,,,
BOAN5-CAP-LC,3,BOT-CAP-T,1,44,44,6,64,,,,,,,ANC-CAP-LC,2,41,19,12,36,,,,,,
CAAN5-CAP-LC,3,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-LC,2,41,19,12,36,,,,,,
CAAN6-CAP-LC,4,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-LC,2,41,19,12,36,CAB-CAP-W,1,55,18,5,31
CAAN7-CAP-LC,4,CAT-CAP-S,1,64,41,7,84,,,,,,,ANC-CAP-LC,3,41,19,12,36,,,,,,
HEAN7-CAP-LC,4,HET-CAP-T,1,58,46,7,120,,,,,,,ANC-CAP-LC,3,41,19,12,36,,,,,,
HLAN3-CAP-LC,3,HLT-CAP-T,1,45,45,6,55,HLT-CAP-P,1,26,9,7,11,ANC-CAP-LC,1,41,19,12,36,,,,,,
HLAN5-CAP-LC,4,HLT-CAP-T,1,45,45,6,55,HLT-CAP-P,1,26,9,7,11,ANC-CAP-LC,2,41,19,12,36,,,,,,
LYAN5-CAP-LC,3,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-LC,2,41,19,12,36,,,,,,
LYAN6-CAP-LC,4,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-LC,2,41,19,12,36,LYB-CAP-W,1,56,19,5,33
LYAN7-CAP-LC,4,LYT-CAP-T,1,58,40,7,104,,,,,,,ANC-CAP-LC,3,41,19,12,36,,,,,,
ANTI3-CAP-W,3,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-W,1,41,19,11,36,,,,,,
ANTI5-CAP-W,4,ANT-CAP-T,1,39,39,6,33,ANT-CAP-P,1,26,9,7,14,ANC-CAP-W,2,41,19,11,36,,,,,,
BOAN3-CAP-W,2,BOT-CAP-T,1,44,44,6,64,,,,,,,ANC-CAP-W,1,41,19,11,36,,,,,,
